id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8263299,Rental unit in Zürich · ★4.57 · 1 bedroom · 1 bed · 1.5 shared baths,43111694,Susanna,Kreis 7,Witikon,47.357601,8.59931,Private room,47,28,7,2023-04-28,0.08,13,147,2,
8321743,Rental unit in Zürich · ★4.93 · 1 bedroom · 2 beds · 1 bath,43870222,Alexandra,Kreis 10,Wipkingen,47.38888,8.53016,Private room,70,1,123,2023-06-06,1.31,1,32,21,
8332340,Rental unit in Zürich · ★4.75 · 1 bedroom · 2 beds · 1 bath,12886487,Stephanie,Kreis 9,Altstetten,47.38645,8.50316,Entire home/apt,575,1,4,2022-12-17,0.05,103,95,1,
8332432,Rental unit in Zürich · 1 bedroom · 2 beds · 1 bath,12886487,Stephanie,Kreis 9,Altstetten,47.38645,8.50316,Entire home/apt,575,1,0,,,103,0,0,
8370018,Rental unit in Zürich · ★4.81 · 2 bedrooms · 3 beds · 2 baths,475053,James,Kreis 1,City,47.37682,8.53883,Entire home/apt,1500,1,47,2022-04-06,0.50,16,42,0,
8392091,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,36107955,Rachid,Kreis 4,Hard,47.3882,8.49862,Entire home/apt,150,4,8,2022-09-18,0.37,1,0,3,
8397025,Rental unit in Zürich · 1 bedroom · 1 bed · 1.5 baths,1483482,Dusha,Kreis 5,Escher Wyss,47.38722,8.51385,Entire home/apt,185,95,0,,,1,363,0,
8476758,Loft in Zürich · 1 bedroom · 1 bed · 2 baths,2153971,Gasi,Kreis 4,Werd,47.374268,8.521883,Entire home/apt,470,7,2,2017-08-12,0.02,1,363,0,
8658138,Rental unit in Zürich · ★4.78 · 2 bedrooms · 3 beds · 2 baths,23561865,Tania,Kreis 8,Mühlebach,47.36124,8.55203,Entire home/apt,192,2,62,2023-06-27,0.66,55,0,18,
8658898,Rental unit in Zürich · ★4.83 · 1 bedroom · 2 beds · 1 bath,23561865,Tania,Kreis 1,Rathaus,47.3718,8.54541,Entire home/apt,183,2,437,2023-06-24,4.76,55,5,50,
8708068,Condo in Zürich · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,22959986,Valentina,Kreis 5,Escher Wyss,47.39178,8.51652,Entire home/apt,132,7,4,2019-08-28,0.04,1,0,0,
