"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
17138503,"Stadt Zürich zentrale Wohnung","Kreis 3","Alt-Wiedikon",47.3618,8.51384,"Entire home/apt",82,261,"TotalCrime",304,48865,0.00622122173334698,1564
17259300,"2.5 BR flat close to lake/opera/city center (SF9)","Kreis 8","Mühlebach",47.36388,8.55063,"Entire home/apt",232,261,"TotalCrime",107,17152,0.00623833955223881,2237
17267151,"Ultimate luxury in Zurich, villa IMPERIAL","Kreis 2","Wollishofen",47.34338,8.53135,"Entire home/apt",2535,261,"TotalCrime",251,35494,0.00707161773820927,1803
17391335,"Bright studio - Center of Zurich","Kreis 6","Unterstrass",47.37949,8.54429,"Entire home/apt",131,261,"TotalCrime",221,33665,0.00656468141987227,1731
17428463,"Sunny and newly renovated  flat in Wiedikon","Kreis 3","Alt-Wiedikon",47.36183,8.51632,"Entire home/apt",77,261,"TotalCrime",304,48865,0.00622122173334698,1564
17471935,"1.5 room apartment in Zurich-City (BE-35)","Kreis 3","Sihlfeld",47.37544,8.51641,"Entire home/apt",69,261,"TotalCrime",304,48865,0.00622122173334698,1564
17486280,"Schöne, helle Wohnung in Gehdistanz zum See","Kreis 2","Enge",47.35873,8.52627,"Entire home/apt",110,261,"TotalCrime",251,35494,0.00707161773820927,1803
17506390,"N4 - Apartment in the Old Town","Kreis 1","Rathaus",47.37505,8.54372,"Entire home/apt",575,261,"TotalCrime",153,5411,0.0282757346146738,2317
17529725,"Cozy Room in Zürich, sunny, calm and central","Kreis 10","Höngg",47.40107,8.49915,"Private room",135,261,"TotalCrime",180,39719,0.00453183614894635,1614
17648054,"Central, cozy, renovated, 3.5 rooms, balcony","Kreis 3","Alt-Wiedikon",47.35721,8.52087,"Entire home/apt",139,261,"TotalCrime",304,48865,0.00622122173334698,1564
17739331,"Living & homeoffice with spectacular views !","Kreis 1","Rathaus",47.37198,8.54206,"Entire home/apt",116,261,"TotalCrime",153,5411,0.0282757346146738,2317
17854285,"Charming 1BD flat / old town UZ1","Kreis 1","Rathaus",47.3718,8.54541,"Entire home/apt",193,261,"TotalCrime",153,5411,0.0282757346146738,2317
17906819,"Flat close to HB and River","Kreis 6","Unterstrass",47.38646,8.54015,"Entire home/apt",116,261,"TotalCrime",221,33665,0.00656468141987227,1731
17918837,"Vintage roof-apartment - 2 bedrooms - A/C","Kreis 11","Oerlikon",47.41037,8.53746,"Entire home/apt",115,261,"TotalCrime",400,73223,0.00546276443194078,1540
17960665,"Penthouse with rooftop terrace near Central&HB","Kreis 1","Rathaus",47.37455,8.54383,"Entire home/apt",249,261,"TotalCrime",153,5411,0.0282757346146738,2317
18064368,"Beautiful spacious home in Seefeld near lake","Kreis 8","Mühlebach",47.35796,8.55493,"Private room",118,261,"TotalCrime",107,17152,0.00623833955223881,2237
18165560,"3 room appartement - Goodkarma Flat :)","Kreis 4","Hard",47.37947,8.5173,"Entire home/apt",138,261,"TotalCrime",303,27765,0.010913019989195,1656
18233101,"TWO ROOM (1BR) SERVICED APARTMENT IN ZURICH CITY","Kreis 4","Hard",47.37843,8.5141,"Entire home/apt",100,261,"TotalCrime",303,27765,0.010913019989195,1656
18355296,"Easy Studio Apartment","Kreis 11","Affoltern",47.41888,8.5081,"Entire home/apt",90,261,"TotalCrime",400,73223,0.00546276443194078,1540
18471761,"Zurich Furnished One Bedroom Apartment","Kreis 3","Sihlfeld",47.36498,8.52248,"Entire home/apt",249,261,"TotalCrime",304,48865,0.00622122173334698,1564
