"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price"
679320005514462080,"Room with a leap into Lake of Zurich","Kreis 2","Wollishofen",47.347157,8.5324175,"Private room",70
679539028657313152,"New Studio in the Center of Zurich Old Town12#","Kreis 1","Rathaus",47.37521,8.54277,"Entire home/apt",157
679596423995623296,"Einfamilienhaus / House, 3 bdrs, garden, parking","Kreis 11","Oerlikon",47.41287,8.53075,"Entire home/apt",271
680301166524123904,"BRIGHT SEEFELD APARTMENT 2-MIN WALK FROM LAKE ZURI","Kreis 8","Seefeld",47.3597903,8.5501924,"Entire home/apt",325
680946017735070080,"Zentrale Stadtwohnung nähe See","Kreis 2","Enge",47.36119,8.52979,"Entire home/apt",220
681012370246931456,"Easy Studio Apartment","Kreis 11","Affoltern",47.4188639,8.5080646,"Entire home/apt",90
681067330228404608,"*CENTRAL LOCATED & COZY APARTMENT IN THE HERAT OF","Kreis 7","Hottingen",47.36663,8.55271,"Entire home/apt",243
681575212095543808,"Nice 2 rooms apart with Projector close to lake","Kreis 2","Wollishofen",47.34404,8.52924,"Entire home/apt",165
681670118780357632,"Easy Studio Apartment","Kreis 11","Affoltern",47.4188639,8.5080646,"Entire home/apt",90
681673011920283264,"Precious apartment by the lake in central Zurich","Kreis 8","Seefeld",47.35419,8.55603,"Entire home/apt",109
681675245808226944,"Easy Junior One Bedroom Apartment","Kreis 11","Affoltern",47.4188639,8.5080646,"Entire home/apt",99
682400947475403776,"Perfect Appartment for a stay in Zürich.","Kreis 9","Altstetten",47.38706,8.49063,"Entire home/apt",68
683271955246974080,"Design Loft Zurich","Kreis 8","Mühlebach",47.35972,8.5558,"Entire home/apt",249
683888425935702272,"Exclusive spacious Apt. with garden in Zurich","Kreis 7","Witikon",47.3544,8.58225,"Entire home/apt",390
